,,,accuracy_train,accuracy_train,accuracy_test,accuracy_test,error_test,error_test,gap_accuracy,gap_accuracy,f1_test,f1_test,recall_test,recall_test,auc_test,auc_test,tiempo_entrenamiento,tiempo_entrenamiento
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
experimento,hiperparametro,valor_hiperparametro,,,,,,,,,,,,,,,,
cantidad_arboles,n_estimators,10,0.9989,0.0004,0.9909,0.0023,0.0091,0.0023,0.008,0.0023,0.9809,0.0049,0.9697,0.0093,0.9962,0.0019,0.0156,0.0038
cantidad_arboles,n_estimators,100,0.9998,0.0002,0.9935,0.0019,0.0065,0.0019,0.0063,0.002,0.9864,0.004,0.979,0.0074,0.9976,0.0016,0.0926,0.0056
cantidad_arboles,n_estimators,300,0.9998,0.0002,0.9937,0.0017,0.0063,0.0017,0.0061,0.0018,0.9868,0.0037,0.9796,0.0067,0.9976,0.0016,0.2692,0.027
cantidad_arboles,n_estimators,50,0.9997,0.0002,0.9932,0.0022,0.0068,0.0022,0.0066,0.0023,0.9857,0.0046,0.9783,0.0078,0.9974,0.0017,0.0501,0.0058
cantidad_arboles,n_estimators,500,0.9998,0.0002,0.9936,0.0019,0.0064,0.0019,0.0062,0.0019,0.9866,0.0039,0.9793,0.0073,0.9977,0.0015,0.4193,0.0093
minimo_muestras_hoja,min_samples_leaf,1,0.9998,0.0002,0.9935,0.0019,0.0065,0.0019,0.0063,0.002,0.9864,0.004,0.979,0.0074,0.9976,0.0016,0.0923,0.01
minimo_muestras_hoja,min_samples_leaf,10,0.9938,0.0008,0.9908,0.003,0.0092,0.003,0.003,0.0033,0.9807,0.0064,0.9693,0.0101,0.9971,0.0018,0.0872,0.0049
minimo_muestras_hoja,min_samples_leaf,20,0.9913,0.0009,0.989,0.0028,0.011,0.0028,0.0023,0.0034,0.9769,0.0059,0.9644,0.0097,0.9965,0.002,0.0857,0.0028
minimo_muestras_hoja,min_samples_leaf,5,0.996,0.0005,0.9922,0.0024,0.0078,0.0024,0.0038,0.0026,0.9837,0.0051,0.9731,0.0096,0.9973,0.0017,0.0885,0.0053
profundidad_maxima,max_depth,10,0.9993,0.0004,0.9937,0.002,0.0063,0.002,0.0056,0.0022,0.9868,0.0042,0.9793,0.0074,0.9976,0.0016,0.0911,0.006
profundidad_maxima,max_depth,2,0.9774,0.0025,0.9758,0.0047,0.0242,0.0047,0.0015,0.0049,0.9478,0.0107,0.9116,0.0181,0.9933,0.0029,0.0731,0.0014
profundidad_maxima,max_depth,5,0.9944,0.0007,0.9915,0.0027,0.0085,0.0027,0.0029,0.0032,0.9821,0.0058,0.9702,0.0102,0.9969,0.0019,0.0817,0.0051
profundidad_maxima,max_depth,None,0.9998,0.0002,0.9935,0.0019,0.0065,0.0019,0.0063,0.002,0.9864,0.004,0.979,0.0074,0.9976,0.0016,0.0927,0.0054
variables_por_split,max_features,None,0.9998,0.0002,0.9895,0.0028,0.0105,0.0028,0.0103,0.0028,0.978,0.0058,0.9716,0.0093,0.9957,0.0021,0.1586,0.0085
variables_por_split,max_features,log2,0.9998,0.0002,0.9935,0.0019,0.0065,0.0019,0.0063,0.002,0.9864,0.004,0.979,0.0074,0.9976,0.0016,0.093,0.0052
variables_por_split,max_features,sqrt,0.9998,0.0002,0.9935,0.0019,0.0065,0.0019,0.0063,0.002,0.9864,0.004,0.979,0.0074,0.9976,0.0016,0.0913,0.0057
